B-1	! 'Cause the day when we first met, when we got in that fight in the hallway, Mr. C took your side.	لأن عندما تقابلنا أول مرة ، عندما تقاتلنا في الرواق ، وقف السيد ( ك ) إلى جانبك .	B!-B		
B-2	! - What gives you the audacity to think that you.. - You want those lives...	إنك تتلاعب بالحسابات لكي تتكمن . . .	N-M	إنك تتلاعبين بالحسابات لكي تتكمني . . .	
B-3	! How dare you!	كيف تجرؤ ؟	N-M	كيف تجرؤين ؟	
B-4	! No, you're finally living. Look, you like Sabrina.	لا انت اخير اصبحت تعيش ( انت معجب ب ( سابرينا	N-M	لا انت اخير اصبحت تعيشين ( انت معجبة ب ( سابرينا	Bad translation
B-5	! That was very nice of you.	هذا لطف منك	N-B		
B-6	! You tell Queen?	كنت اقول الملكة ؟	B-N		
B-7	! Your wife's been murdered.	زوجتك قد قتلت	N-B		زوجتك
B-8	" " " Are you" going to be home all day, son?	هل ستبقى في المنزل طوال اليوم يا بني ؟	N-M	هل ستبقين في المنزل طوال اليوم يا بنيتي ؟	
B-9	" "You don't care?	لا يزعجك ؟ - لا -	N-B		
B-10	" For ten minutes, thank you."	لعشر دقائق ، شكرا لكم	B-M!	لعشر دقائق ، شكرا لكن	
B-11	" Wicked slanders ", " you had lain wicked ", " wicked woman "...	أيتها " المفترية " يالك من امرأة غريبة الأطوار فعلا	N-F	أيها " المفتري" يالك من رجل غريب الأطوار فعلا	
B-12	"'If you're very, very good, and promise to tell no lies, "'then you will become a real, live boy. '	اذا أثبت ان تكون ولد جيد وأن تعدني أن لا تكذب ، عندها ستصبح كولد حقيقي .	B-M	اذا أثبتي ان تكوني بنت جيدة وأن تعديني أن لا تكذبي ، عندها ستصبحين كبنت حقيقية .	
B-13	"'What did you say?	ماذا قلت ؟	N-B		
B-14	"'When the last dies and replaces you..., ...then, and only then, will you win Ares' godhood."	" وعندما يموت آخر واحد منهم ليأخذ مكانك حينذاك . . فقط حينذاك سوف تفوز بإلوهية ( آريس ) "	N-M	" وعندما يموت آخر واحد منهم ليأخذ مكانك حينذاك . . فقط حينذاك سوف تفوزين بإلوهية ( آريس ) "	
B-15	"...to your music.	لموسيقتك " .	N-B		
B-16	"And if you ever saw it, you would even say it glows"	واذا سبق ان رايتة	N-B		رايتة
B-17	"Are you Indian?"	" هل انت هندي ؟ "	N-M	" هل أنت هندية ؟ "	
B-18	"Are you ready to play?"	. . . بأرسال نفس البريد الإليكتروني هل أنتم مستعدون للعب ؟	N-M!	. . . بأرسال نفس البريد الإليكتروني هل أنتن مستعدات للعب ؟	
B-19	"As an accountant, shouldn't you...?" Blah, blah, blah.	" . . . بصفتك محاسب الا يجدر بك " إلخ ، إلخ	N-M	" . . . بصفتك محاسبة الا يجدر بك " إلخ ، إلخ	
B-20	"As you all know, this is the last night of this show."	كما تعلمون ، هذه آخر ليلة لهذا العرض	N-M!	كما تعلمن ، هذه آخر ليلة لهذا العرض	
B-21	"Better luck next time" and "Try, try again." Why are you even here, Kurt?	ولكنهم يبحثون	N-N		
B-22	"But until then, you just have to deal with all the wars,	لكن حتى ذلك الوقت يجب أن تتعاملوا مع كل الحروب	N-M!	لكن حتى ذلك الوقت يجب أن تتعاملن مع كل الحروب	
B-23	"Chazz, one thing you don't do.	تشاز ) ، شيء وحيد لا تفعله )	N-M	تشاز ) ، شيء وحيد لا تفعليه )	
B-24	"Come on, do what you do. To get you much higher."	" ستحصل على ما تفعله " " و أكثر "	N-M	" ستحصلين على ما تفعلينه " " و أكثر "	
B-25	"Dear Thomas, you always picked up women	( عزيزي ( طوماس " ، لطالما انجذب إليك النساء	N-M	( عزيزتي ( طوماس " ، لطالما انجذب إليك النساء	
B-26	"Do you have the constant feeling that today is yesterday?"	هل يراودك شعور غريب ان اليوم هو نفسه الأمس ؟	N-B		
B-27	"Do you think it'd be fun if we got married?"	" هل سيكون من الممتع لو تزوجنا ؟ "	B!-N		
B-28	"Don't worry, if you get a high. "	" لا تقلق . . إذا أصبحت بمستوى عالي "	N-M	" لا تقلقي . . إذا أصبحت بمستوى عالي "	
B-29	"Don't you come back pregnant. "	" إياك أن تعودى ثانية أيتها الحامل . "		HARD	
B-30	"For your Ma's sake, please stay on for just four days"	" لأجل امك ، رجاء إبق على لمدة أربعة أيام فقط "	N-M	" لأجل امك ، رجاء ابقي على لمدة أربعة أيام فقط "	
B-31	"Get your camera.	\ " الحصول على الكاميرا .	N-N		
B-32	"Give your father a kiss."	قبل والدك	N-B		
B-33	"God, the Father, commands you!	الرب ، الأب ، يأمرك !	N-B		
B-34	"Good people of Florence, the Medicis are leading you to death."	شعب ( فلورنسا ) الطيبون ( ميديتشي ) سيقودونكم للموت		HARD	
B-35	"Happy birthday Michael, you lucky son of a bitch, "many happy returns. Love, Melissa."	عيد ميلاد سعيد يا مايكل ، أيها الوغد المحظوظ ليعد عليكم بالسعادة و الحب ، ميليسا		HARD	
B-36	"He was sent to take you back to Silent Hill."	" لقد أرسل لإعادتك إلى التل الصامت "	N-B		
B-37	"Here's a photo of your favorite new character, jim-jam bonks.	" هذه صورة شخصيتك المفضلة " جيم جام بانكس	N-B		
